row,score,image
7390,7.0,3494
7391,7.5,3493
7392,6.5,3492
7393,7.5,3491
7394,6.5,3490
7395,7.5,2893
7396,7.0,2892
7397,8.0,2891
7398,8.0,2890
7399,8.0,2889
7400,8.0,2888
7401,5.5,2887
7402,7.0,2886
7403,6.0,2885
7405,7.5,2883
7406,6.5,2882
7408,6.5,2880
7409,7.5,2879
7410,7.0,2878
7411,7.5,2894
7412,7.0,2895
7413,8.0,2896
7414,8.0,2897
7415,8.0,2898
7416,8.0,2899
7417,5.5,2900
7418,7.0,2901
7420,7.0,2903
7421,6.5,2904
7422,7.5,2905
7423,6.0,2906
7424,7.5,2907
7425,7.0,2908
7426,7.5,2909
7427,7.0,3502
7428,8.0,3503
7429,8.0,3504
7430,8.0,3505
7431,5.0,3506
7432,7.5,3507
7433,6.5,3508
7435,7.5,3510
7436,7.0,3511
7437,7.5,3512
7438,7.0,3513
7439,7.5,3525
7440,7.5,3524
7441,7.5,3523
7442,7.0,3522
7443,8.0,3521
7444,7.5,3520
7445,7.5,3519
7446,7.5,3518
7447,5.0,3517
7448,7.5,3516
7450,7.5,3514
7451,7.0,2925
7452,7.0,2924
7453,6.5,2923
7454,7.5,2922
7455,7.0,2921
7456,7.5,2920
7457,7.0,2919
7458,8.0,2918
7459,8.0,2917
7460,8.0,2916
7461,8.0,2915
7462,5.5,2914
7463,7.0,2913
7465,7.0,2911
7466,7.0,2910
7467,7.0,2926
7468,6.0,2927
7469,7.5,2928
7470,6.5,2929
7471,7.5,2930
7472,7.0,2931
7473,5.5,2932
7474,7.5,2933
7475,5.5,2934
7477,8.0,2936
7478,7.0,2937
7479,8.0,2938
7480,7.0,2939
7481,8.0,2940
7482,7.0,2941
7483,8.0,3526
7484,7.5,3527
7485,5.0,3528
7486,7.5,3529
7487,6.5,3530
7489,8.0,3532
7490,6.0,3533
7491,8.0,3534
7492,6.5,3535
7493,8.0,3536
7494,7.0,3537
7495,8.0,3549
7496,7.0,3548
7497,5.0,3547
7498,6.0,3546
7500,8.0,3544
7501,5.5,3543
7502,7.5,3542
7503,7.0,3541
7504,7.5,3540
7505,7.0,3539
7506,7.5,3538
7507,7.0,2957
7508,7.5,2956
7509,7.5,2955
7510,7.5,2954
7511,7.5,2953
7512,5.0,2952
7513,7.0,2951
7515,8.0,2949
7516,7.0,2948
7517,8.0,2947
7518,6.5,2946
7519,7.5,2945
7520,7.0,2944
7521,8.0,2943
7522,6.5,2942
7523,8.0,2958
7524,7.5,2959
7525,8.0,2960
7526,7.5,2961
7527,5.5,2962
7528,8.0,2963
7530,8.0,2965
7531,6.5,2966
7532,8.0,2967
7533,6.0,2968
7534,7.5,2969
7535,6.5,2970
7536,7.0,2971
7537,6.0,2972
7538,8.0,2973
7539,7.5,3550
7540,8.0,3551
7542,5.0,3553
7543,8.0,3554
7544,6.5,3555
8070,8.0,3590
8071,6.0,3589
8072,8.0,3588
8073,6.5,3587
8074,8.0,3586
8075,7.0,3021
8076,8.0,3020
8077,7.0,3019
8078,8.0,3018
8079,7.5,3017
8080,8.0,3016
8081,5.0,3015
8082,7.5,3014
8083,6.5,3013
8085,8.0,3011
8086,6.0,3010
8087,8.0,3009
8088,6.5,3008
8089,8.0,3007
8090,6.5,3006
8091,8.0,3598
8092,6.0,3599
8093,8.0,3600
8094,7.5,3601
8095,8.0,3602
8096,5.0,3603
8097,7.0,3604
8098,5.5,3605
8100,7.0,3607
8101,5.5,3608
8102,6.5,3609
8103,5.5,3621
8104,6.0,3620
8105,6.0,3619
8106,5.5,3618
8107,5.0,3617
8108,7.5,3616
8109,7.5,3615
8110,7.5,3614
8111,5.0,3613
8112,5.0,3612
8114,8.0,
8115,6.5,
8116,7.5,
8117,6.5,
8118,8.0,
8119,7.0,
8120,8.0,
8121,7.0,
8122,8.0,
8123,8.0,
8124,8.0,
8125,5.0,
8126,7.5,
8127,6.5,
8129,7.5,
8130,6.0,
8131,7.5,
8132,7.0,
8133,8.0,
8134,7.0,
8135,7.5,
8136,7.5,
8137,8.0,
8138,8.0,
8139,8.0,
8140,7.5,
8141,5.0,
8142,6.5,
8144,7.0,
8145,7.0,
8146,7.5,
8147,6.5,
8148,7.0,
8149,6.5,
8150,6.5,
8151,6.0,
8152,8.0,
8153,8.0,
8154,8.0,
8155,8.0,
8156,5.5,
8157,6.0,
8159,8.0,
8160,6.0,
8161,8.0,
8162,6.0,
8163,7.5,
8164,6.0,
8165,7.5,
8166,6.5,
8167,8.0,
8168,8.0,
8169,8.0,
8170,8.0,
8171,4.5,
8172,6.0,
8173,6.0,
3216,6.0,
3223,6.0,0375
3374,6.0,
3242,5.5,0655
3262,5.5,
3226,5.0,0378
3291,5.0,0817
3295,6.0,0661
3451,6.0,0451
3316,5.5,0398
3217,5.5,
3246,5.5,0807
3254,5.5,0386
3257,5.5,0383
3390,5.5,0428
3428,5.5,0434
3450,5.5,0450
3218,5.0,
3219,5.0,0371
3225,5.0,0377
3230,5.0,0796
3233,5.0,0799
3238,5.0,0652
3239,5.0,0653
3249,5.0,0804
3261,5.0,
3264,5.0,
3272,5.0,
3282,5.0,0396
3298,5.0,0663
3299,5.0,0662
3361,5.0,0836
3364,5.0,0424
3368,5.0,0420
3386,5.0,
3399,5.0,0845
3408,5.0,0681
3425,5.0,0437
3443,5.0,0443
3237,4.5,0651
3308,4.5,0406
3319,4.5,
3360,4.5,0837
3363,4.5,0834
3381,4.5,
3429,4.5,
3435,4.5,
3215,4.0,
3269,4.0,
3289,4.0,0815
3378,4.0,
3385,4.0,
3440,3.5,
3235,5.0,0801
3281,5.0,0395
3214,4.5,
3258,4.5,0382
3259,4.5,0381
3260,4.5,0380
3265,4.5,
3288,4.5,0814
3351,4.5,0669
3366,4.5,0422
3370,4.5,0418
3393,4.5,0431
3419,4.5,0850
3431,4.5,
3437,4.5,
3228,4.0,0794
3245,4.0,0808
3256,4.0,0384
3271,4.0,
3273,4.0,
3321,4.0,
3322,4.0,
3339,4.0,0415
3349,4.0,0667
3356,4.0,0841
3365,4.0,0423
3371,4.0,0417
3375,4.0,
3389,4.0,0427
3391,4.0,0429
3397,4.0,0843
3403,4.0,0849
3247,5.0,0806
3296,5.0,0665
3395,5.0,0433
3421,5.0,0441
3446,5.0,0446
3224,4.5,0376
3231,4.5,0797
3250,4.5,0803
3266,4.5,
3270,4.5,
3313,4.5,0401
3327,4.5,
3330,4.5,
3396,4.5,0842
3406,4.5,0676
3417,4.5,0852
3418,4.5,0851
3427,4.5,0435
3240,4.0,0657
3244,4.0,0809
3283,4.0,0397
3286,4.0,0812
3290,4.0,0816
3301,4.0,0824
3303,4.0,0822
3307,4.0,0818
3310,4.0,0404
3314,4.0,0400
3323,4.0,
3324,4.0,
3352,4.0,0673
3367,4.0,0421
3376,4.0,
3377,4.0,
3392,4.0,0430
3402,4.0,0848
3407,4.0,0677
3441,4.0,
3445,4.0,0445
3341,3.5,0827
3357,3.5,0840
3284,4.5,0810
3292,4.0,0658
3300,4.0,0825
3304,4.0,0821
3305,4.0,0820
3309,4.0,0405
3343,4.0,0829
3346,4.0,0832
3380,4.0,
3414,4.0,0855
3415,4.0,0854
3416,4.0,0853
3423,4.0,0439
3433,4.0,
3434,4.0,
3236,3.5,0650
3311,3.5,0403
3325,3.5,
3338,3.5,0414
3340,3.5,0826
3444,3.5,0444
3234,3.0,0800
3251,3.0,0802
3293,3.0,0659
3409,3.0,0680
3280,4.0,0394
3410,4.0,0679
3449,4.0,0449
3268,3.5,
3382,3.5,
3439,3.5,
3344,3.0,0830
3347,3.0,0833
3438,3.0,
3432,3.5,
3326,3.0,
3411,3.0,0678
3413,2.5,0856
3317,6.0,
3329,6.0,
3278,6.0,0392
3229,5.5,0795
3277,5.5,0391
3222,5.0,0374
3232,5.0,0798
3384,5.0,
3285,4.5,0811
3302,4.5,0823
3241,4.0,0656
3430,4.0,
3213,4.0,
3383,4.0,
3287,4.0,0813
3328,4.0,
